YEAR,BookID,PhysicalDescription,Place,Publisher,MediaType,Title,ResTitle
2010,5737,584,"Kathmandu, Nepal",Asmita Books Publishers & Distributors,TEXT MATERIAL,Production & Operations Management,Azaya Bikram Sthapit | Rashindra Prasad Yadav | Govinda Tamang | Sushil Dhital | Prakash Adhikari
1974,2575,365,"UP, India",K. Nath and Co.,TEXT MATERIAL,"A History of Political Thought, Vol III",J.P. Suda
1989,383,590,New Delhi,Macmillan India,TEXT MATERIAL,Contemporary Criticism:,V.S. Seturaman
1999,2015,61,"Bharatpur, Chitwan",Birendra Multiple Campus,TEXT MATERIAL,Economic Participation of Rural Women in Sericulture:,Bidya Devi Regmi
2009,4915,508,Lalitpur,Progress Academy,TEXT MATERIAL,Advanced Calculus,Y.P. Koirala | R.B. Shah
1976,4680,404,Aagra,Binod Pustak Mandir,TEXT MATERIAL,Shiksha Siddhanta,S.S. Mathur
1983,10397,172,Aagra,Kendriya Hindi Sansthan,TEXT MATERIAL,Kosh Nirman Siddhant Aaur Parampara,Suresh Kumar
1998,5363,131,,,TEXT MATERIAL,The state of the world's children 1998,Unicef
2076,10669,348,"Kathmandu, Nepal",KEC Publishers and Distributors,TEXT MATERIAL,"Production & Operation Management, Text & Cases for MBS/MBA",Krishna Prasad Acharya | Arun Kumar Yadav | Bijaya Lal Pradhan | Rajendra Prasad Upadhayaya | Murari Karki | Lal Babu Shah
2018,12457,40,"Bharatpur,Chitwan","Deprtment Of Sociology,Birendra Mltiple Campus",TEXT MATERIAL,Contributions Of Community Forestry Towards Socio-Economic Development Of The Community Pepole,"Pradhan,Anita"
1986,2576,255,New Delhi,Sterling Publishers,TEXT MATERIAL,Public Policy and Administration,M. Kistaiah
2000,1010,403,Singapore,World Scientific,TEXT MATERIAL,The Physics of Non-Ideal Plasma,Vladimir E. Fortov | Igor T. Lakubov
2077,11133,216,Ktm,Bidharthi Pustak Bhandar,TEXT MATERIAL,Prayogic Lekhan tatha Sampadan,"Bhandari,Parasmoney"
2067,7193,116,Kathmandu,Nepal dalit sahitya tatha Sanskriti Pratisthan,TEXT MATERIAL,Samundra Pariko Upahar,Ranendra Barali
2001,8519,735+I-48,New York,W.W. Norton and Company,TEXT MATERIAL,Earth: Potriat of a Planet,Stephen Marshak
2019,12522,49,"Bharatpur,Chitwan","Department Of Sociology,Birendra Multiple Campus",TEXT MATERIAL,Socio-Economic Status Of Dalit,"Bishwakarma,Ram Bahadur"
2013,12464,56,"Bhartpur,Chitwan","Department Of Economic ,Birendra Multipel Campus",TEXT MATERIAL,Socio-Economic Status Of The Chepang,"Adhikari,Krishna Bahadur"
2013,9213,194,New Delhi,Oxford University Press,TEXT MATERIAL,Improve your Writing,V.N. Arora | Lakshmi Chandra
2008,6781,570,New Delhi,Macmillian india,TEXT MATERIAL,A Textbook of Physical Chemistry vol 3,K.L.Kapoor
2006,6205,128,"Kirtipur, kathmandu","Central Department of Physics, Kirtipur",TEXT MATERIAL,Theoretical study of non - local model for electron thermal transport in lorentz plasma,Amit Kumar Yadav
2006,2212,87,"Kathmandu,Nepal",S.R. Uprety,TEXT MATERIAL,Guideliness for improving your in Project proposal Writing Report writing Report presentation,Singha RajUprety
1979,1837,301,New Delhi,Pan Books,TEXT MATERIAL,A Dictionary of Earth Sciences,Stella E. Stiegeler
2013,7693,,Photpcopy,Photocopy,TEXT MATERIAL,State of the world Population 2005,Photocopy
1992,782,378,London,Everyman's Library,TEXT MATERIAL,The Castle,Franz Kafka
2052,4802,608,"Bhotahity, Kathmandu",Taleju Prakashan,TEXT MATERIAL,Micro & Macro Economic,Murarimohan Joshi
2021,10896,453,Kathmandu,Buddha Publication,TEXT MATERIAL,Social Science Research  Thesis Writing,Prem R Pant
1980,1149,342,New Delhi,S. Chand & Company,TEXT MATERIAL,Modern Practical Botany Vol.1,B.P. Pandey
2009,4240,600,New Delhi,Rastogi Publiscations,TEXT MATERIAL,Ecology and Environment,P.D. Sharma
2076,13659,83,"Bharatpur,Chitwan","Department of Sociology,Birendra multiple Campus",TEXT MATERIAL,"Daijo Prathako Bartman Awashtha, karan ra Prabhav","Bishta,Shirjana"
